GEO/TIME,Belgium,Bulgaria,Czech Republic,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Liechtenstein,Norway,Switzerland,Montenegro,"Former Yugoslav Republic of Macedonia, the",Serbia,Turkey
2006,"16,039,090","11,944,694","20,090,348","9,453,026","52,947,373","3,020,367","21,652,000","43,055,381","224,518,083","105,865,432","32,858,014","156,861,341","13,310,257","1,872,393","1,514,197","2,399,913","10,045,891","7,094,031","26,886,500","70,017,089","10,555,119","26,842,277","3,242,105","4,332,049","5,058,147","5,003,750","10,942,968","90,740,612","1,687,744","155,171","7,921,169",:,:,:,:,:
2007,"16,271,311","12,006,786","20,610,186","9,327,579","54,485,379","2,915,456",:,"48,081,473","225,450,241","108,567,043","33,701,925","163,465,680","13,197,004","1,935,984","1,609,998","2,328,688","10,170,808","7,749,831","27,952,200","71,518,637","10,918,100","28,669,799","3,586,439","4,707,220","5,115,168","5,328,215","11,200,359","84,690,331","1,838,330","167,748","8,305,287",:,:,:,:,:
2008,"16,360,702","11,791,454","19,987,022","8,918,197","56,239,679","2,932,662",:,"47,973,949","223,756,216","106,993,811","33,902,735","161,797,434","13,208,954","2,115,618","1,626,829","2,249,545","10,009,531","7,581,137","25,267,600","74,730,956","10,173,237","28,126,716","3,359,244","5,085,308","5,144,831","5,502,554","10,920,106","80,393,221","1,894,457","171,425","8,119,045",:,:,"579,549",:,:
2009,"15,451,017","9,460,922","17,746,893","8,299,403","54,096,574","2,740,696",:,"57,413,304","200,551,728","98,705,212","33,357,844","159,493,866","11,666,663","1,699,562","1,395,899","2,075,831","9,220,148","6,550,794","25,013,700","72,224,605","9,609,447","25,024,678","2,667,666","4,656,825","3,707,327","4,890,006","11,317,502","79,920,519","2,028,069","158,414","7,500,431",:,:,"575,117",:,:
2010,"16,169,676","10,547,112","18,365,947","8,981,992","59,658,760","3,203,721",:,"59,184,397","213,349,649","120,390,105","33,234,882","165,202,498","12,448,158","1,912,336","1,571,325","1,717,130","9,358,373","7,208,295","26,799,800","72,585,976","10,064,628","25,386,084","2,766,581","4,680,456","3,749,566","5,005,068","11,184,995","84,610,527","2,089,527","150,336","7,881,525",:,:,"548,640",:,:
2011,"16,723,867","12,426,723","19,424,839","9,491,137","63,081,467","3,748,865",:,"65,514,230","239,369,167","123,227,704","35,389,002","176,474,062","13,112,596","2,257,021","1,883,003","2,057,883","9,920,339","7,361,449","27,739,000","73,647,325","10,620,264","27,860,103","3,066,882","5,106,452","3,990,300","5,507,468","11,344,435","87,993,917","2,384,477","148,955","7,844,241",:,"2,743,414","740,532",:,:
2012,"16,432,646","13,451,440","21,793,985","9,608,124","68,161,503","3,823,039","11,839,245","61,054,383","243,389,006","125,038,453","57,079,967","180,594,988","13,488,127","2,429,093","2,680,048","2,298,068","11,392,183","7,498,421","27,845,942","77,158,431","11,876,599","29,033,970","3,291,504","5,702,306","4,039,410","5,802,959","11,299,455","105,455,528","2,873,790","136,276","7,940,468",:,"8,143,007","794,564","1,766,627",:
2013,"16,511,721","14,370,426","22,144,896","9,914,273","71,191,942","3,909,326","10,871,806","68,992,640","252,447,766","132,251,136","59,378,896","184,793,382","13,152,589","2,639,434","2,906,201","2,313,124","11,982,883","8,172,407","31,770,508","78,433,546","12,471,268","32,078,773","3,471,152","5,887,862","4,277,598","5,860,447","11,442,690",:,"3,366,252","132,491","7,693,241",:,:,"864,125","1,879,208","89,594,261"
2014,"17,068,872","14,077,798","22,110,112","10,608,119","74,805,253","3,919,299","11,276,424","74,675,156","259,635,794","130,908,700","61,072,661","186,792,507","12,884,399","2,875,934","3,033,826","2,513,585","12,351,330","8,428,215","34,423,552","78,099,096","12,992,241","35,630,345","3,762,465","6,004,623","3,852,147","5,710,702","12,260,712",:,"4,404,834","130,202","8,451,333",:,:,"900,148","2,074,680","97,581,075"
2015,"18,852,087","13,352,281","23,286,515","11,171,416","78,827,773","3,770,207","13,462,348","78,254,524","269,418,103","130,464,997","65,683,010","192,607,930","12,550,320","2,873,885","3,010,727","2,655,733","12,962,395","8,542,055","37,297,588","80,304,956","13,757,657","38,897,329","4,460,017","6,529,086","4,384,800","5,510,350","13,612,924",:,"5,605,634","110,465","8,851,422",:,"10,307,371","1,020,943","2,402,065","96,400,316"
